,nr,q_nr,theory_nr,theory,question,answer,meta_folder,meta_file,meta_depth,meta_id,D_maxD,D_NFact,D_NRule,Q_Dep,Q_Len,Q_strategy,Q_proofs
394446,4689,2,325,The bear chases the cow. The cow chases the bear. The cow is red. The cow visits the bear. The dog is big. The dog likes the cow. The dog visits the bear. If something chases the cow then the cow does not visit the dog. If something likes the bear then the bear is not round. If the cow visits the dog and the cow is not big then the cow chases the bear. If something visits the bear then it is round. If something is round then it likes the bear. If something is round then it likes the bear. If something is red and it does not like the bear then it chases the bear. If something chases the bear and it likes the dog then it chases the dog.,The dog is round.,True,OWA,dev,3,RelNeg-OWA-D3-1307,3,7,8,1,2,proof,[(((triple7) -> rule4))]
493496,3597,2,170,The bald eagle is kind. The bald eagle is not red. The bald eagle likes the dog. The dog needs the lion. The lion does not need the bald eagle. The mouse likes the dog. The mouse does not see the dog. If someone needs the mouse then the mouse does not see the bald eagle. If someone needs the dog then the dog needs the lion. If someone is rough then they see the mouse. If someone sees the mouse then the mouse is kind. If someone needs the lion then they do not see the bald eagle. If someone sees the dog then they need the mouse. All kind people are rough. If someone sees the mouse then they like the lion.,The bald eagle is rough.,True,OWA,dev,5,RelNeg-OWA-D5-940,6,7,8,1,2,proof,[(((triple1) -> rule7))]
160109,60110,3,7774,The bald eagle eats the dog. The bald eagle sees the bear. The bald eagle sees the dog. The bear does not visit the dog. The dog is not kind. The dog is nice. The dog sees the bear. If something sees the bear then the bear does not visit the dog. If something eats the bear and it eats the dog then the bear does not see the dog. If something sees the bear then it visits the dog. If something visits the bear and it eats the dog then it is not blue. If something visits the bear then it is big. If something sees the dog and the dog visits the bald eagle then the bald eagle is red. If something eats the dog then it is not red. If something is big and it does not visit the dog then it is not nice.,The bald eagle is red.,False,OWA,train,1,RelNeg-OWA-D1-1655,1,7,8,1,2,inv-proof,[(((triple1) -> rule7))]
399939,10182,3,710,The bald eagle is blue. The bear eats the rabbit. The bear is blue. The bear is nice. The mouse does not visit the rabbit. The rabbit chases the mouse. The rabbit is blue. If someone eats the bald eagle then the bald eagle visits the rabbit. If someone is blue and they do not eat the mouse then the mouse visits the bald eagle. If someone chases the mouse and the mouse is kind then the mouse does not visit the bald eagle. If someone eats the rabbit and they chase the mouse then they are not cold. If the mouse does not eat the bear then the mouse chases the bear. If someone is cold then they visit the mouse. If the rabbit is blue then the rabbit eats the bald eagle. If someone visits the rabbit then the rabbit is not cold.,The rabbit does not eat the bald eagle.,False,OWA,dev,3,RelNeg-OWA-D3-586,3,7,8,1,2,inv-proof,[(((triple7) -> rule7))]
233075,33062,3,2979,"Anne is big. Anne is furry. Harry is big. Harry is furry. Harry is not kind. Harry is rough. Harry is young. Young things are big. If something is kind then it is big. If Anne is green then Anne is young. All big, green things are kind. If something is rough and big then it is not kind. If Anne is rough then Anne is furry. Big, furry things are rough. If Anne is furry and Anne is not rough then Anne is quiet.",Anne is not rough.,False,OWA,train,2,AttNeg-OWA-D2-438,2,7,8,1,3,inv-proof,[(((triple1 triple2) -> rule7))]
225429,25416,3,2292,"Anne is round. Charlie is green. Charlie is white. Dave is blue. Dave is white. Gary is rough. Gary is round. If Anne is round then Anne is furry. Green people are rough. All round, blue people are rough. If someone is blue then they are white. Rough people are blue. If Dave is rough then Dave is blue. Rough people are green. Big people are white.",Gary is not blue.,False,OWA,train,2,AttNoneg-OWA-D2-1912,2,7,8,1,2,inv-proof,[(((triple6) -> rule5))]
220925,20912,3,1880,"Bob is cold. Bob is not furry. Bob is green. Bob is kind. Charlie is cold. Fiona is furry. Fiona is round. If someone is blue and not cold then they are quiet. All green people are not quiet. If Charlie is round and Charlie is quiet then Charlie is kind. If Fiona is blue then Fiona is not kind. Blue people are not round. Cold, kind people are blue. All green people are blue. All blue, round people are furry.",Bob is not blue.,False,OWA,train,2,AttNeg-OWA-D2-1823,2,7,8,1,2,inv-proof,[(((triple3) -> rule7) OR ((triple1 triple4) -> rule6))]
382884,13473,4,932,"Anne is furry. Anne is not kind. Anne is not nice. Anne is red. Bob is not round. Dave is furry. Dave is not nice. If something is furry and round then it is cold. If something is white and furry then it is cold. If something is cold then it is red. All kind, white things are round. Red things are round. Cold things are not white. If Bob is not nice then Bob is not round. If Dave is nice and Dave is round then Dave is not kind.",Anne is cold.,True,OWA,test,3,AttNeg-OWA-D3-1355,3,7,8,2,4,proof,[(((triple1 ((triple4) -> rule5)) -> rule1))]
386966,17555,4,1212,"Anne is furry. Anne is nice. Anne is rough. Anne is young. Dave is green. Dave is rough. Dave is young. If something is round and rough then it is green. Green things are white. If something is white and green then it is young. White, nice things are furry. If Anne is nice then Anne is furry. Young, rough things are white. All white things are round. Round things are rough.",Anne is round.,True,OWA,test,3,AttNoneg-OWA-D3-1245,3,7,8,2,4,proof,[(((((triple4 triple3) -> rule6)) -> rule7))]
479664,9795,4,464,"Anne is cold. Anne is furry. Anne is red. Dave is young. Gary is nice. Gary is young. Harry is not blue. All nice people are red. All furry people are blue. All furry, red people are quiet. Blue people are cold. Young people are cold. Cold people are furry. If Dave is blue then Dave is red. If Gary is furry then Gary is nice.",Gary is furry.,True,OWA,test,5,AttNeg-OWA-D5-103,5,7,8,2,3,proof,[(((((triple6) -> rule5)) -> rule6))]
454296,54237,4,2579,"Charlie is blue. Charlie is kind. Charlie is rough. Dave is cold. Erin is red. Erin is rough. Gary is furry. Kind people are furry. If Dave is kind then Dave is furry. If someone is furry and red then they are quiet. Cold people are blue. If someone is rough then they are quiet. All blue people are quiet. All cold, quiet people are red. If Dave is red then Dave is kind.",Dave is quiet.,True,OWA,train,5,AttNoneg-OWA-D5-1236,5,7,8,2,3,proof,[(((((triple4) -> rule4)) -> rule6))]
217418,17405,4,1565,The cat eats the tiger. The cat is cold. The cat is young. The cat visits the tiger. The tiger is green. The tiger sees the cat. The tiger visits the cat. If something eats the cat and it eats the tiger then it sees the cat. If the cat eats the tiger then the cat sees the tiger. If something is young then it sees the tiger. If something eats the tiger then the tiger visits the cat. If something is young and it sees the tiger then the tiger is cold. If something eats the cat then it is green. If something is cold then it sees the cat. If something is young then it eats the tiger.,The tiger is cold.,True,OWA,train,2,RelNoneg-OWA-D2-603,2,7,8,2,4,proof,[(((triple3 ((triple1) -> rule2)) -> rule5) OR ((triple3 ((triple3) -> rule3)) -> rule5) OR ((triple3 ((((triple3) -> rule8)) -> rule2)) -> rule5))]
333039,33016,5,2290,Bob is blue. Bob is nice. Dave is big. Erin is big. Harry is not blue. Harry is round. Harry is white. All big people are round. Big people are furry. If someone is big then they are green. All round people are nice. If someone is round then they are not blue. If Bob is green and Bob is not blue then Bob is furry. If someone is nice and not blue then they are white. If someone is furry and not green then they are not white.,Dave is not nice.,False,OWA,train,3,AttNeg-OWA-D3-1431,3,7,8,2,3,inv-proof,[(((((triple3) -> rule1)) -> rule4))]
275257,5168,5,464,The bald eagle is round. The cat does not see the dog. The cat visits the mouse. The dog sees the cat. The mouse does not like the dog. The mouse sees the bald eagle. The mouse sees the cat. If something likes the mouse then it visits the cat. If something likes the dog and the dog is round then it likes the cat. If the cat sees the mouse then the cat is red. If something sees the bald eagle then the bald eagle is red. If something is red then it likes the mouse. If something visits the dog then the dog visits the cat. If something likes the dog and the dog is nice then it visits the dog. If something likes the cat and it does not like the mouse then it does not see the cat.,The bald eagle does not like the mouse.,False,OWA,test,2,RelNeg-OWA-D2-1103,3,7,8,2,3,inv-proof,[(((((triple6) -> rule4)) -> rule5))]
206115,6102,5,552,"Bob is big. Bob is blue. Bob is green. Bob is round. Bob is smart. Gary is green. Gary is smart. If someone is round then they are young. If someone is kind and round then they are not young. If someone is big and round then they are young. If someone is big and kind then they are blue. If someone is smart then they are green. Big, young people are smart. All young people are not kind. If Gary is green then Gary is young.",Gary is kind.,False,OWA,train,2,AttNeg-OWA-D2-660,2,7,8,2,3,inv-proof,[(((((triple6) -> rule8)) -> rule7) OR ((((((triple7) -> rule5)) -> rule8)) -> rule7))]
408841,8782,5,418,"Bob is quiet. Bob is young. Erin is green. Erin is red. Fiona is quiet. Fiona is young. Harry is blue. Blue, big people are green. If someone is young then they are big. Big people are blue. If someone is red and big then they are white. All white, green people are big. If someone is green and big then they are red. If someone is white and young then they are green. If Erin is white then Erin is young.",Fiona is not blue.,False,OWA,train,5,AttNoneg-OWA-D5-691,5,7,8,2,3,inv-proof,[(((((triple6) -> rule2)) -> rule3))]
437135,37076,5,1768,"Dave is nice. Erin is quiet. Gary is round. Gary is not smart. Harry is kind. Harry is nice. Harry is red. Red, quiet things are young. If something is kind and smart then it is not young. Nice things are young. All red, kind things are quiet. If something is young and round then it is kind. Red things are nice. If something is round then it is red. Young things are red.",Dave is not red.,False,OWA,train,5,AttNeg-OWA-D5-790,5,7,8,2,3,inv-proof,[(((((triple1) -> rule3)) -> rule8))]
307786,7763,6,545,"Anne is not blue. Anne is green. Bob is blue. Bob is cold. Bob is kind. Charlie is kind. Charlie is nice. If someone is white then they are big. If someone is big then they are kind. If someone is green and white then they are not blue. Big people are not nice. All blue, kind people are white. If someone is cold and nice then they are white. If Charlie is big then Charlie is kind. If Charlie is kind then Charlie is nice.",Bob is not nice.,True,OWA,train,3,AttNeg-OWA-D3-617,3,7,8,3,5,proof,[(((((((triple3 triple5) -> rule5)) -> rule1)) -> rule4))]
321068,21045,6,1459,"Anne is green. Anne is quiet. Charlie is quiet. Charlie is not white. Dave is young. Erin is green. Erin is young. If Charlie is young and Charlie is not quiet then Charlie is big. If Anne is green then Anne is big. If something is cold and quiet then it is red. All young, cold things are not big. All green, young things are not cold. Big things are young. If something is young and not red then it is not white. If something is cold then it is white.",Anne is not cold.,True,OWA,train,3,AttNeg-OWA-D3-1387,3,7,8,3,5,proof,[(((triple1 ((((triple1) -> rule2)) -> rule6)) -> rule5))]
492324,2425,6,114,"Anne is quiet. Bob is big. Bob is nice. Erin is kind. Erin is young. Harry is quiet. Harry is rough. If Harry is young and Harry is kind then Harry is big. If someone is young and not quiet then they are not nice. If someone is rough and quiet then they are nice. Nice people are cold. Kind, big people are young. If someone is kind then they are young. If someone is rough and cold then they are kind. If Anne is young then Anne is nice.",Harry is kind.,True,OWA,dev,5,AttNeg-OWA-D5-417,5,7,8,3,6,proof,[(((triple7 ((((triple7 triple6) -> rule3)) -> rule4)) -> rule7))]
356398,56375,6,3914,"Dave is cold. Dave is red. Erin is white. Fiona is cold. Fiona is quiet. Fiona is not red. Fiona is smart. If Erin is not cold then Erin is smart. If someone is kind and not red then they are not smart. All white people are smart. Cold, red people are smart. All smart people are blue. If someone is quiet and cold then they are white. Red, kind people are white. Blue, cold people are white.",Dave is white.,True,OWA,train,3,AttNeg-OWA-D3-741,3,7,8,3,6,proof,[(((((((triple1 triple2) -> rule4)) -> rule5) triple1) -> rule8))]
348400,48377,6,3357,The bald eagle does not visit the rabbit. The rabbit is rough. The rabbit is young. The rabbit needs the bald eagle. The rabbit does not need the tiger. The tiger chases the bald eagle. The tiger needs the rabbit. If someone needs the rabbit and they chase the bald eagle then the bald eagle is rough. If someone visits the bald eagle then the bald eagle is young. If someone is cold then they need the rabbit. If someone needs the bald eagle then they need the rabbit. If someone is rough then they need the bald eagle. If someone needs the tiger and the tiger does not visit the bald eagle then they visit the tiger. If someone needs the tiger then they visit the tiger. If someone visits the tiger then they do not chase the rabbit.,The bald eagle needs the rabbit.,True,OWA,train,3,RelNeg-OWA-D3-365,3,7,8,3,5,proof,[(((((((triple7 triple6) -> rule1)) -> rule5)) -> rule4))]
375681,6270,7,431,"Anne is furry. Dave is big. Dave is cold. Dave is furry. Erin is big. Erin is furry. Erin is quiet. If something is furry then it is rough. If Anne is rough then Anne is not big. If something is blue and not rough then it is cold. All blue things are cold. All furry, quiet things are cold. All rough, big things are quiet. All green, cold things are quiet. Quiet things are green.",Dave is not green.,False,OWA,test,3,AttNeg-OWA-D3-1319,3,7,8,3,5,inv-proof,[(((((((triple4) -> rule1) triple2) -> rule6)) -> rule8))]
348431,48408,7,3359,The bear does not like the cow. The cow chases the bear. The cow eats the bear. The cow is big. The cow is red. The cow is young. The cow likes the bear. If the cow chases the bear then the cow eats the bear. Cold things are young. All big things are young. If something chases the bear and the bear likes the cow then the bear does not eat the cow. If something is young and it does not like the cow then it is red. If something likes the cow then the cow is cold. If something eats the bear then the bear is big. If something chases the bear then it is round.,The bear is not red.,False,OWA,train,3,RelNeg-OWA-D3-1332,3,7,8,3,5,inv-proof,[(((((((triple3) -> rule7)) -> rule3) triple1) -> rule5) OR ((((((((triple2) -> rule1)) -> rule7)) -> rule3) triple1) -> rule5))]
326927,26904,7,1868,The dog is blue. The dog sees the tiger. The lion chases the tiger. The squirrel chases the lion. The squirrel likes the lion. The tiger likes the lion. The tiger sees the lion. If something sees the tiger then the tiger chases the lion. If something is round then it chases the dog. If something sees the lion and it chases the lion then the lion is round. If something likes the dog then the dog sees the lion. If the squirrel sees the lion and the lion is nice then the squirrel is green. If something sees the lion then the lion sees the squirrel. If something sees the squirrel then the squirrel chases the lion. If the tiger chases the dog then the tiger is green.,The lion does not chase the dog.,False,OWA,train,3,RelNoneg-OWA-D3-1327,3,7,8,3,5,inv-proof,[(((((triple7 ((triple2) -> rule1)) -> rule3)) -> rule2))]
393015,3258,7,225,The bear is kind. The bear needs the tiger. The dog eats the bear. The dog needs the bear. The dog needs the tiger. The dog sees the tiger. The tiger needs the dog. If something sees the dog then the dog is green. If something is blue then it eats the tiger. If something needs the dog then it needs the tiger. If something is green then it sees the bear. If the bear sees the dog then the bear is kind. If something is red then it sees the dog. If something needs the tiger then it is blue. If something sees the tiger then the tiger eats the dog.,The tiger does not eat the tiger.,False,OWA,dev,3,RelNoneg-OWA-D3-618,3,7,8,3,4,inv-proof,[(((((((triple7) -> rule3)) -> rule7)) -> rule2))]
405955,5896,7,282,"Bob is furry. Bob is quiet. Bob is round. Bob is white. Erin is white. Fiona is big. Harry is kind. If something is white then it is quiet. Nice things are white. Kind, furry things are big. If Bob is kind then Bob is white. Quiet, round things are white. If something is quiet and big then it is round. All quiet things are furry. If something is furry then it is kind.",Erin is not kind.,False,OWA,train,5,AttNoneg-OWA-D5-530,5,7,8,3,4,inv-proof,[(((((((triple5) -> rule1)) -> rule7)) -> rule8))]
491750,1851,8,87,"Anne is white. Erin is round. Erin is white. Gary is cold. Gary is round. Harry is furry. Harry is green. Furry, white people are green. Nice people are round. All round, furry people are green. All cold people are white. All cold, rough people are round. All white people are cold. If someone is cold then they are furry. All furry, green people are rough. All round, green people are cold.",Erin is rough.,True,OWA,dev,5,AttNoneg-OWA-D5-1250,5,7,9,4,9,proof,[(((((((triple3) -> rule6)) -> rule7) ((triple2 ((((triple3) -> rule6)) -> rule7)) -> rule3)) -> rule8) OR ((((((triple3) -> rule6)) -> rule7) ((((((triple3) -> rule6)) -> rule7) triple3) -> rule1)) -> rule8))]
423602,23543,8,1122,The cow is big. The cow needs the tiger. The mouse is blue. The mouse sees the tiger. The rabbit sees the mouse. The tiger is blue. The tiger needs the rabbit. If something needs the tiger then it does not visit the tiger. If something sees the mouse then the mouse sees the cow. If something is nice then it sees the rabbit. If the mouse visits the tiger and the tiger is young then the tiger sees the rabbit. If something needs the rabbit then it visits the cow. If something is young then it sees the cow. If something sees the cow then it needs the rabbit. If the tiger is big then the tiger is blue. If something visits the cow and it sees the cow then the cow needs the rabbit.,The cow needs the rabbit.,True,OWA,train,5,RelNeg-OWA-D5-3,5,7,9,4,7,proof,[(((((((((triple5) -> rule2)) -> rule7)) -> rule5) ((triple5) -> rule2)) -> rule9))]
429424,29365,8,1401,The cat chases the lion. The cat does not chase the mouse. The cat sees the tiger. The lion is nice. The mouse likes the cat. The tiger chases the lion. The tiger likes the mouse. If someone sees the mouse and they are rough then the mouse sees the tiger. If someone sees the lion and the lion likes the tiger then they are nice. If someone likes the tiger then they are nice. If someone is rough then they see the mouse. If someone likes the lion then the lion sees the mouse. If someone chases the tiger and the tiger sees the mouse then the mouse is not big. If someone sees the lion then the lion likes the tiger. If someone likes the lion and they chase the cat then they do not see the lion. If someone sees the tiger and the tiger chases the lion then they are rough.,The mouse is rough.,True,OWA,train,5,RelNeg-OWA-D5-161,5,7,9,4,10,proof,[(((((((((triple3 triple6) -> rule9)) -> rule4) ((triple3 triple6) -> rule9)) -> rule1) triple6) -> rule9))]
481886,12017,8,568,The cat visits the tiger. The lion eats the tiger. The lion does not visit the tiger. The rabbit eats the cat. The rabbit eats the tiger. The rabbit is nice. The tiger is round. If something is rough and not cold then it does not eat the tiger. If something visits the cat and the cat does not eat the lion then the lion is rough. If something visits the cat then the cat eats the rabbit. If something eats the rabbit then the rabbit is blue. If something eats the tiger then the tiger is blue. If something likes the tiger then the tiger eats the rabbit. If something likes the rabbit then it visits the lion. If something visits the tiger and the tiger is blue then the tiger does not eat the cat. If something is blue then it visits the cat.,The rabbit is blue.,True,OWA,test,5,RelNeg-OWA-D5-525,5,7,9,4,5,proof,[(((((((((triple2) -> rule5)) -> rule9)) -> rule3)) -> rule4) OR ((((((((triple5) -> rule5)) -> rule9)) -> rule3)) -> rule4))]
495610,5711,8,269,"Anne is quiet. Charlie is round. Charlie is smart. Erin is green. Erin is kind. Erin is round. Fiona is not furry. All kind people are cold. Furry, round people are cold. If someone is quiet then they are furry. If someone is kind and not smart then they are furry. All cold, smart people are round. If Charlie is round and Charlie is cold then Charlie is green. All smart people are quiet. If Anne is green then Anne is cold. If someone is furry and green then they are not kind.",Charlie is green.,True,OWA,dev,5,AttNeg-OWA-D5-397,5,7,9,4,7,proof,[(((triple2 ((((((triple3) -> rule7)) -> rule3) triple2) -> rule2)) -> rule6))]
470027,158,9,7,The cat likes the tiger. The dog is cold. The dog is nice. The dog likes the mouse. The mouse chases the tiger. The mouse does not eat the cat. The tiger chases the cat. If the cat likes the dog then the dog does not eat the cat. If something is kind then it chases the cat. If something likes the dog then it likes the tiger. If the tiger is nice and the tiger is not young then the tiger does not chase the mouse. If something likes the tiger then it eats the dog. If something eats the dog then the dog likes the tiger. If something eats the dog and it likes the mouse then the mouse is kind. If something eats the cat then the cat does not chase the dog. If something is kind and it does not eat the cat then the cat does not eat the mouse.,The mouse is not kind.,False,OWA,test,5,RelNeg-OWA-D5-428,5,7,9,4,6,inv-proof,[(((((((((triple1) -> rule5)) -> rule6)) -> rule5) triple4) -> rule7))]
492513,2614,9,122,"Anne is young. Bob is red. Bob is rough. Erin is green. Erin is kind. Gary is kind. Gary is round. If Anne is red and Anne is young then Anne is quiet. Round things are kind. If something is green and red then it is rough. If something is round then it is quiet. If something is young then it is round. Kind, red things are young. All red, round things are young. If something is round and quiet then it is green. All red, rough things are kind.",Bob is not quiet.,False,OWA,dev,5,AttNoneg-OWA-D5-836,5,7,9,4,7,inv-proof,[(((((((((triple2 triple3) -> rule9) triple2) -> rule6)) -> rule5)) -> rule4))]
492663,2764,9,129,The bear visits the cow. The cow eats the bear. The lion eats the squirrel. The lion is cold. The lion is red. The lion does not visit the bear. The squirrel is red. If someone is rough then they chase the squirrel. If someone is red and they chase the squirrel then the squirrel visits the bear. If the cow is kind then the cow does not eat the squirrel. If someone is red and they visit the bear then the bear is red. If someone is red then they are rough. If someone visits the bear then they are rough. If someone visits the cow then the cow chases the bear. If the lion visits the bear and the lion does not visit the squirrel then the squirrel is not red. If someone eats the lion and the lion is green then they visit the lion.,The bear is not red.,False,OWA,dev,5,RelNeg-OWA-D5-146,6,7,9,4,7,inv-proof,[(((triple7 ((triple5 ((((triple5) -> rule5)) -> rule1)) -> rule2)) -> rule4) OR ((triple7 ((triple7 ((((triple7) -> rule5)) -> rule1)) -> rule2)) -> rule4))]
451721,51662,9,2458,"Charlie is cold. Charlie is green. Erin is big. Gary is cold. Harry is quiet. Harry is white. Harry is young. All big people are quiet. Cold, young people are big. If Erin is kind then Erin is big. If someone is green then they are big. All quiet, cold people are white. If someone is white and young then they are green. If Harry is cold then Harry is big. All white people are young. All young people are kind.",Charlie is not young.,False,OWA,train,5,AttNoneg-OWA-D5-1231,5,7,9,4,6,inv-proof,[(((((((((triple2) -> rule4)) -> rule1) triple1) -> rule5)) -> rule8))]
485011,15142,9,716,"Bob is green. Charlie is blue. Charlie is white. Erin is big. Erin is blue. Erin is round. Gary is white. Red, green people are white. If someone is green then they are red. Blue, white people are red. Blue, round people are big. If someone is round then they are big. If Gary is red then Gary is white. If someone is white then they are round. All big people are blue. If Bob is round and Bob is white then Bob is smart.",Gary is not red.,False,OWA,test,5,AttNeg-OWA-D5-123,5,7,9,4,6,inv-proof,[(((((((((triple7) -> rule7)) -> rule5)) -> rule8) triple7) -> rule3))]
